@relation chunks

@attribute velocidade_maxima numeric
@attribute aceleracao_maxima numeric
@attribute mudancas_de_direcao numeric
@attribute modo_de_transporte {MOTORIZADO,NAO_MOTORIZADO}

@data
6.581168,1.1625075,30, NAO_MOTORIZADO
6.017022,0.8918016,25, NAO_MOTORIZADO
8.021881,0.73650503,16, NAO_MOTORIZADO
30.927599,30.830116,12, MOTORIZADO
7.079468,0.37644595,11, MOTORIZADO
20.395563,17.808233,18, MOTORIZADO
0.5270509,0.44400224,14, MOTORIZADO
0.7016768,0.610993,14, MOTORIZADO
21.567612,21.52005,19, MOTORIZADO
84.01362,83.65238,14, MOTORIZADO
7.2983794,6.867985,28, MOTORIZADO
6.941301,1.3205082,25, MOTORIZADO
33.016438,33.016438,20, MOTORIZADO
4.2561336,2.2895765,26, MOTORIZADO
0.5359303,0.36847374,13, MOTORIZADO
30.982721,30.613495,24, MOTORIZADO
1.82291,0.5492356,22, MOTORIZADO
1.2473313,1.1509075,25, MOTORIZADO
2.355672,1.5089513,33, MOTORIZADO
4.174542,3.2112174,38, MOTORIZADO
3.1665301,2.9014676,31, MOTORIZADO
1.0594637,1.0418941,17, MOTORIZADO
5.1276913,3.5492787,21, MOTORIZADO
14.889756,8.04093,19, MOTORIZADO
29.326063,28.505323,14, MOTORIZADO
13.395913,13.199623,15, MOTORIZADO
31.717728,28.042233,7, MOTORIZADO
13.900562,13.900562,18, MOTORIZADO
20.084229,19.945972,22, MOTORIZADO
7.959608,7.435795,17, MOTORIZADO
0.4599294,0.45928463,14, MOTORIZADO
0.6189693,0.42382511,14, MOTORIZADO
37.99461,37.82912,13, MOTORIZADO
46.741932,46.297173,12, MOTORIZADO
24.692236,24.434582,15, MOTORIZADO
5.886878,5.186156,20, MOTORIZADO
92.1194,92.08917,14, MOTORIZADO
7.9891386,7.6085005,16, MOTORIZADO
0.50287664,0.2509502,15, MOTORIZADO
0.68693376,0.30405527,17, MOTORIZADO
0.84261787,0.48257494,15, MOTORIZADO
1.3117827,0.9795655,17, MOTORIZADO
14.346182,13.974662,14, MOTORIZADO
9.746998,5.253544,11,MOTORIZADO
18.585464,4.901844,16,MOTORIZADO
14.0063095,2.6404872,22,MOTORIZADO
16.647234,2.7642813,16,MOTORIZADO
18.826118,2.6389885,20,MOTORIZADO
14.689133,3.9646802,18,MOTORIZADO
12.261376,3.9540026,11,MOTORIZADO
10.836378,4.2293425,27,MOTORIZADO
11.705418,2.3752556,16,MOTORIZADO
12.211198,5.457774,22,MOTORIZADO
13.114676,0.9910574,5,MOTORIZADO
18.660475,17.229607,9,MOTORIZADO
21.817656,1.0331688,15,MOTORIZADO
23.407646,5.990615,8,MOTORIZADO
20.807735,2.2787275,14,MOTORIZADO
9.54145,7.257455,28,MOTORIZADO
23.451334,2.9726305,26,MOTORIZADO
18.50889,2.1109076,22,MOTORIZADO
13.525305,4.7892847,17,MOTORIZADO
15.0122595,5.161264,24,MOTORIZADO
16.636282,2.1563015,24,MOTORIZADO
9.502138,8.315669,20,MOTORIZADO
18.494097,6.178317,20,MOTORIZADO
20.581709,4.650366,10,MOTORIZADO
19.822454,4.0177217,18,MOTORIZADO
16.710003,3.7120705,24,MOTORIZADO
11.846397,5.1313896,31,MOTORIZADO
11.730746,1.6647763,26,MOTORIZADO
13.40052,2.7395363,22,MOTORIZADO
12.299948,2.7515955,26,MOTORIZADO
10.040842,2.85801,25,MOTORIZADO
